Institution Name,Institution Type,Ownership,University Affiliation,Location (City),NAAC Grade,NIRF Ranking,UGC Approved,AICTE Approved,Courses Offered,Official Website,Admission Process,Approx Annual Fees,Avg Placement Package,Highest Placement Package,Year Established
University of Delhi,Central University,Government,Self,Delhi,A++,Not surfaced,Yes,N/A,BA/BSc/BCom/MA/MSc/MCom/PhD,http://www.du.ac.in,CUET,"₹10,000–₹50,000",₹6–12 LPA,₹40 LPA,1922
South Asian University,Central University,Government,Self,New Delhi,Not surfaced,Not surfaced,Yes,N/A,BA/MA/MSc/PhD,https://sau.int,Entrance Exam,"₹50,000–₹1,00,000",Not surfaced,Not surfaced,2010
Indira Gandhi National Open University (IGNOU),Central University,Government,Self,South Delhi,Not surfaced,Not surfaced,Yes,N/A,BA/BCom/BSc/MBA/MCA/MA/PhD,https://www.ignou.ac.in,Direct/Entrance,"₹5,000–₹30,000",Not surfaced,Not surfaced,1985
Delhi Technological University (DTU),State University,Government,Self,Outer North Delhi,A++,NIRF #38 (Engineering),Yes,Yes,BTech/MTech/MBA/PhD,http://www.dtu.ac.in,JEE Main,"₹1,50,000–₹2,00,000",₹8–15 LPA,₹1.5 Crore,1941
Netaji Subhas University of Technology (NSUT),State University,Government,Self,South West Delhi,A,NIRF Top 100,Yes,Yes,BTech/MTech/PhD,http://www.nsut.ac.in,JEE Main,"₹1,40,000–₹1,80,000",₹8–12 LPA,₹1 Crore,1983
Guru Gobind Singh Indraprastha University (GGSIPU),State University,Government,Self,South West Delhi,A,NIRF Top 150,Yes,Yes,BTech/MBBS/BBA/MBA/Law/Nursing/Pharmacy,http://www.ipu.ac.in,IPU CET,"₹80,000–₹2,50,000",₹5–8 LPA,₹35 LPA,1998
IGDTUW (Indira Gandhi Delhi Technical University for Women),State University,Government,Self,Central North Delhi,B++,Not surfaced,Yes,Yes,BTech/MTech/PhD,http://www.igdtuw.ac.in,JEE Main,"₹1,20,000–₹1,60,000",₹7–10 LPA,₹40 LPA,1998
IIIT Delhi (IIIT-D),State University,Government,Self,South East Delhi,Not surfaced,NIRF #68 (Engineering),Yes,Yes,BTech/MTech/PhD,https://www.iiitd.ac.in,JEE Main/IIIT-D Exam,"₹2,10,000–₹2,25,000",₹14–20 LPA,₹60 LPA+,2008
Ambedkar University Delhi (AUD),State University,Government,Self,Delhi,A,Not surfaced,Yes,N/A,BA/BSc/MA/MSc/LLM/PhD,https://aud.ac.in,Entrance Test,"₹15,000–₹50,000",Not surfaced,Not surfaced,2007
National Law University Delhi (NLU Delhi),State University,Government,Self,South West Delhi,A++,NIRF #1 (Law),Yes,N/A,BA LLB/LLM/PhD,https://nludelhi.ac.in,CLAT,"₹2,00,000–₹2,50,000",₹12–20 LPA,₹50 LPA+,2008
Delhi Pharmaceutical Sciences and Research University (DPSRU),State University,Government,Self,South Delhi,Not surfaced,Not surfaced,Yes,Yes,B.Pharm/M.Pharm/PharmD/PhD,http://www.dpsru.edu.in,Entrance Test/GPAT,"₹50,000–₹1,20,000",Not surfaced,Not surfaced,1964
Delhi Sports University,State University,Government,Self,Central Delhi,Not surfaced,Not surfaced,Yes,N/A,BSc Sports Sciences/BPEd,Not surfaced,Entrance Test,Not surfaced,Not surfaced,Not surfaced,2020
