Institution Name,City,Institution Type,Ownership,Affiliated University,UGC Status,AICTE Status,NAAC Grade,NIRF Ranking,Courses Offered,Average Fees,Average Placement,Highest Placement,Official Website,Best Known For
Aditi Mahavidyalaya,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Commerce/Humanities,Not surfaced,Not surfaced,Not surfaced,https://aditi.du.ac.in,Affordable DU women's college
Daulat Ram College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://dr.du.ac.in,Women's education under DU
Hindu College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,NIRF mentioned in news context only,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://hinducollege.ac.in,Academic reputation and DU campus life
Hansraj College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://www.hansrajcollege.ac.in,Science and commerce under DU
Indraprastha College for Women,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Humanities/Commerce,Not surfaced,Not surfaced,Not surfaced,https://ipcollege.ac.in,Historic women's college
Kirori Mal College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://kmc.du.ac.in,Strong DU academics and societies
Miranda House,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,NIRF mentioned in news context only,Arts/Science,Not surfaced,Not surfaced,Not surfaced,https://www.mirandahouse.ac.in,Top women's college reputation
Ramjas College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://ramjas.du.ac.in,Balanced academics and campus culture
St. Stephen's College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Science,Not surfaced,Not surfaced,Not surfaced,https://www.ststephens.edu,Elite humanities and sciences
Shaheed Sukhdev College of Business Studies,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,BMS/BBA(FIA)/CS/Commerce,Not surfaced,Not surfaced,Not surfaced,https://sscbs.du.ac.in,Excellent for BBA/BMS and ROI
Shri Ram College of Commerce,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Commerce/Economics/Management,Not surfaced,Not surfaced,Not surfaced,https://www.srcc.edu,Excellent for commerce and placements
Sri Guru Tegh Bahadur Khalsa College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable for most general colleges,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://sgtbkhalsadu.ac.in,North Campus academics
School of Open Learning,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Distance UG/PG,Low,Not surfaced,Not surfaced,https://sol.du.ac.in,Affordable distance education
Swami Shraddhanand College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://ss.du.ac.in,Affordable DU degree
Acharya Narendra Dev College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Science/Applied sciences,Not surfaced,Not surfaced,Not surfaced,https://andcollege.du.ac.in,Science focus and value
Aryabhatta College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Management,Not surfaced,Not surfaced,Not surfaced,https://aryabhattacollege.ac.in,Good South Campus access
Atma Ram Sanatan Dharma College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://arsdcollege.ac.in,Strong overall DU option
Delhi College of Arts and Commerce,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Journalism,Not surfaced,Not surfaced,Not surfaced,https://dcac.du.ac.in,Commerce and media-adjacent options
Jesus and Mary College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Humanities,Not surfaced,Not surfaced,Not surfaced,https://jmc.ac.in,Women's liberal arts
Maitreyi College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://maitreyi.ac.in,Women's academics and affordability
Motilal Nehru College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://mlncdu.ac.in,Good ROI under DU
Motilal Nehru College Evening,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Low,Not surfaced,Not surfaced,https://motilal.du.ac.in,Affordable evening college
Ram Lal Anand College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://rlacollege.edu.in,Balanced DU academics
Sri Venkateswara College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://svc.ac.in,Strong science and commerce
College of Vocational Studies,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Vocational/Commerce/Humanities,Not surfaced,Not surfaced,Not surfaced,https://cvs.edu.in,Applied courses and employability
Delhi Institute of Pharmaceutical Sciences and Research,Delhi,Government College,Government,University of Delhi / DPSRU origin,Check UGC official,Check AICTE/PCI official,Not surfaced,Not surfaced,Pharmacy,Not surfaced,Not surfaced,Not surfaced,http://dpsru.edu.in,Excellent for pharmacy
Deshbandhu College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://www.deshbandhucollege.ac.in,Affordable South Campus option
Dyal Singh College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://dsc.du.ac.in,Strong local reputation
Gargi College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://gargicollege.in,Women's academics and culture
Institute of Home Economics,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Home Science/Food/Nutrition/Journalism,Not surfaced,Not surfaced,Not surfaced,https://ihe.du.ac.in,Excellent for home science and nutrition
Kamala Nehru College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://knc.edu.in,Women's arts and humanities
Lady Shri Ram College for Women,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Social sciences,Not surfaced,Not surfaced,Not surfaced,https://lsr.edu.in,Excellent for humanities and local reputation
PGDAV College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://pgdavcollege.in,Affordable commerce option
Rajkumari Amrit Kaur College of Nursing,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Nursing,Not surfaced,Not surfaced,Not surfaced,https://www.rakcon.com,Excellent for nursing
Ramanujan College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Management/Computer,Not surfaced,Not surfaced,Not surfaced,https://ramanujancollege.ac.in,Coding culture and applied learning
Sri Aurobindo College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://www.sac.ac.in,Affordable DU option
